,Audience ID Exists,Audience Type,Tactic,BU,Spend,Net Rev,ROAS
0,Have ID,1PD,Others,B2B,68973.81,186233.42,2.7
1,Have ID,1PD,Others,CSB,11016.0,21993.0,2.0
2,Have ID,1PD,Prospecting,CSB,32061.0,156404.0,4.88
3,Have ID,3PD,Others,B2B,0.01,82114.23,12441550.0
4,Have ID,3PD,Others,CSB,26074.0,30016.0,1.15
5,Have ID,3PD,Prospecting,B2B,3989.99,766009.39,191.98
6,Have ID,3PD,Prospecting,CSB,1514.0,19209.0,12.69
7,No ID,1PD,Others,B2B,105403.48,445534.01,4.23
8,No ID,1PD,Others,CSB,465328.0,4187567.0,9.0
9,No ID,1PD,Prospecting,B2B,29410.7,1182220.25,40.2
10,No ID,1PD,Prospecting,CSB,75332.0,462977.0,6.15
11,No ID,1PD,Retargeting,B2B,113688.22,12770357.6,112.33
12,No ID,1PD,Retargeting,CSB,868480.0,4878637.0,5.62
13,No ID,3PD,Others,B2B,500826.64,8171212.41,16.32
14,No ID,3PD,Others,CSB,1443105.0,9456569.0,6.55
15,No ID,3PD,Prospecting,B2B,93394.4,3378324.92,36.17
16,No ID,3PD,Prospecting,CSB,1292208.0,3246292.0,2.51
17,No ID,3PD,Retargeting,B2B,122189.57,2339697.14,19.15
18,No ID,3PD,Retargeting,CSB,0.0,18348.0,inf
