Audience Type Name,Audience Delve Reporting,Audience Impact report,Dependency Group
MARKET-3PD CONTEXTUAL,3PD Contextual,Contextual,Durable
3PD AUDIENCE,3PD Contextual,3PD Audience,Non durable
ABM-2PD AUDIENCE,2PD Audience,ABM audience,Durable
ABM-3PD AUDIENCE,3PD Audience,ABM audience,Non durable
AFFINITY-3PD BEHAVIOR,3PD Audience,3PD Audience,Non durable
AUDIO-3PD RETARGET EXPOSED,3PD Audience,3PD Audience,Non durable
BEHAVIOR-3PD,3PD Audience,3PD Audience,Non durable
CATEGORY-3PD CONTEXTUAL,3PD Contextual,Contextual,Durable
CE AFFINITY-3PD BEHAVIOR,3PD Audience,3PD Audience,Non durable
CONQUESTING,Other / NON DMP Audience,Other / NON DMP Audience,Durable
CONTEXTUAL-3PD,3PD Contextual,Contextual,Durable
CRM-1PD CRM,1PD Audience,1PD CRM,Durable
CRM-1PD-AIQ-NS,1PD Audience,1PD CRM,Durable
CRM-3PD LAL,3PD Audience,3PD Audience,Non durable
CTV-3PD RETARGET EXPOSED,3PD Audience,3PD Audience,Non durable
DIGITAL-3PD RETARGET EXPOSED,3PD Audience,3PD Audience,Non durable
DMP-2PD AUDIENCE,2PD Audience,2PD Audience,Durable
DMP-3PD AUDIENCE,3PD Audience,3PD Audience,Non durable
DMP-3PD LAL,3PD Audience,3PD Audience,Non durable
DOMAIN-3PD CONTEXTUAL,3PD Contextual,Contextual,Durable
EMAIL-1PD CRM,1PD Audience,1PD CRM,Durable
IN MARKET-3PD BEHAVIOR,3PD Audience,3PD Audience,Non durable
IN MARKET-1PD PIXEL,1PD Audience,1PD Pixel,Non durable
IN MARKET-3PD CONTEXTUAL,3PD Contextual,Contextual,Durable
KCT-2PD CONTEXTUAL,2PD Contextual,Contextual,Durable
KCT-3PD CONTEXTUAL,3PD Contextual,Contextual,Durable
KCT-SEARCH,Other / NON DMP Audience,Other / NON DMP Audience,Durable
KSTD-3PD CONTEXTUAL,3PD Contextual,Contextual,Durable
LAPSED-1PD PIXEL,1PD Audience,1PD Pixel,Non durable
MARKET-3PD CONTEXTUAL,3PD Contextual,Contextual,Durable
MB AFFINITY-3PD BEHAVIOR,3PD Audience,3PD Audience,Non durable
MEDIA-1PD MEDIA,1PD Audience,1PD Audience,Non durable
MEDIA-3PD RETARGET EXPOSED,3PD Audience,3PD Audience,Non durable
PERSONA-1PD RETARGET,1PD Audience,1PD Retargeting,Non durable
PIXEL-3PD LAL,3PD Audience,3PD Audience,Non durable
PROXIMITY-3PD BEHAVIOR,3PD Audience,3PD Audience,Non durable
PROXIMITY-3PD CONTEXTUAL,3PD Contextual,Contextual,Durable
PUBLISHER-2PD,2PD Audience,2PD Audience,Durable
RETARGET-1PD RETARGET,1PD Audience,1PD Retargeting,Non durable
RETARGET-3PD COM SIZE,3PD Audience,3PD Audience,Non durable
RETARGET-3PD RETARGET,3PD Audience,3PD Audience,Non durable
RON-PMP,Other / NON DMP Audience,Other / NON DMP Audience,Non durable
ROS-3PD PMP,3PD Audience,3PD Audience,Non durable
ROS-PMP,Other / NON DMP Audience,Other / NON DMP Audience,Non durable
SITE IN MARKET-3PD BEHAVIOR,3PD Audience,3PD Audience,Non durable
SITE IN MARKET-3PD CONTEXTUAL,3PD Contextual,Contextual,Durable
SPONSORSHIP,Other / NON DMP Audience,Other / NON DMP Audience,Durable
VIDEO-3PD RETARGET EXPOSED,3PD Audience,3PD Audience,Non durable
BEHAVIORAL-3PD,3PD Audience,3PD Audience,Non durable
